ts_ms	env	usage_usec	throttled_usec	nr_throttled	memory_current	memory_peak	pids_current	cpu_max	memory_max
1789618774203	env_01m2pseqxw7t698xcrfrza0jhx	103493	48912	1	24637440	24637440	3	50000/100000	335544320
1789618775038	env_01m2pseqxw7t698xcrfrza0jhx	503200	442315	9	30142464	30142464	3	50000/100000	335544320
1789618775554	env_01m2pseqxw7t698xcrfrza0jhx	764192	732463	15	30928896	30928896	3	50000/100000	335544320
1789618776066	env_01m2pseqxw7t698xcrfrza0jhx	1019491	986638	20	31715328	31715328	3	50000/100000	335544320
1789618776578	env_01m2pseqxw7t698xcrfrza0jhx	1279157	1236627	25	33026048	33026048	3	50000/100000	335544320
1789618777090	env_01m2pseqxw7t698xcrfrza0jhx	1550946	1474158	30	34336768	34336768	3	50000/100000	335544320
1789618777601	env_01m2pseqxw7t698xcrfrza0jhx	1802335	1731533	35	36696064	36696064	3	50000/100000	335544320
1789618778115	env_01m2pseqxw7t698xcrfrza0jhx	2053069	1979255	40	38531072	38531072	3	50000/100000	335544320
1789618778636	env_01m2pseqxw7t698xcrfrza0jhx	2303678	2227629	45	39841792	39841792	3	50000/100000	335544320
1789618779151	env_01m2pseqxw7t698xcrfrza0jhx	2557209	2524571	51	41938944	41938944	3	50000/100000	335544320
1789618779668	env_01m2pseqxw7t698xcrfrza0jhx	2752234	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618780181	env_01m2pseqxw7t698xcrfrza0jhx	2752907	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618780703	env_01m2pseqxw7t698xcrfrza0jhx	2753210	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618781225	env_01m2pseqxw7t698xcrfrza0jhx	2753683	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618781744	env_01m2pseqxw7t698xcrfrza0jhx	2754288	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618782266	env_01m2pseqxw7t698xcrfrza0jhx	2754689	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618782789	env_01m2pseqxw7t698xcrfrza0jhx	2755370	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618783302	env_01m2pseqxw7t698xcrfrza0jhx	2756118	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618783818	env_01m2pseqxw7t698xcrfrza0jhx	2761991	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618784336	env_01m2pseqxw7t698xcrfrza0jhx	2766769	2669794	54	43249664	43249664	3	50000/100000	335544320
1789618784853	env_01m2psf2c10yptk9k935tw625t	61033	50127	1	22798336	22876160	3	50000/100000	335544320
1789618785691	env_01m2psf2c10yptk9k935tw625t	493504	451477	9	29876224	29876224	3	50000/100000	335544320
