2026-09-17T13:14:43Z	{ 8.94 10.38 7.62 }
2026-09-17T13:15:13Z	{ 6.63 9.69 7.46 }
2026-09-17T13:15:43Z	{ 5.04 9.00 7.29 }
2026-09-17T13:16:13Z	{ 4.24 8.44 7.15 }
2026-09-17T13:16:43Z	{ 3.42 7.84 6.97 }
2026-09-17T13:17:13Z	{ 2.94 7.30 6.80 }
2026-09-17T13:17:43Z	{ 2.60 6.79 6.64 }
2026-09-17T13:18:13Z	{ 2.59 6.39 6.50 }
2026-09-17T13:18:43Z	{ 3.57 6.26 6.45 }
2026-09-17T13:19:13Z	{ 3.22 5.93 6.32 }
2026-09-17T13:19:43Z	{ 2.71 5.55 6.17 }
2026-09-17T13:20:13Z	{ 2.50 5.23 6.03 }
2026-09-17T13:20:43Z	{ 43.47 15.83 9.90 }
2026-09-17T13:21:15Z	{ 36.89 16.70 10.41 }
2026-09-17T13:21:45Z	{ 38.92 19.55 11.68 }
2026-09-17T13:22:15Z	{ 25.80 18.22 11.47 }
2026-09-17T13:22:45Z	{ 17.67 16.98 11.26 }
2026-09-17T13:23:15Z	{ 12.02 15.69 10.99 }
2026-09-17T13:23:45Z	{ 9.35 14.69 10.78 }
