scenario	result	metric_ms	detail
cold-1	FAIL		no Ready within 60 s (cloud-hypervisor still running; host code 1); console: cloud-hypervisor:   0.389409s: <vmm> INFO:virtio-devices/src/transport/pci_device.rs:303 -- _virtio-pci-_vsock3: Waiting for barrier cloud-hypervisor:   0.389434s: <vmm> INFO:virtio-devices/src/transport/pci_device.rs:305 -- _virtio-pci-_vsock3: Barrier released cloud-hypervisor:   0.389536s: <vcpu0> INFO:vmm/src/vm.rs:466 -- Barrier released 
snapshot	UNSUPPORTED		not attempted: the guest does not boot on this host with v51.1
