2026-09-18T03:13:55Z	{ 9.78 22.38 41.28 }
2026-09-18T03:14:00Z	{ 9.16 22.05 41.05 }
2026-09-18T03:14:05Z	{ 9.23 21.85 40.86 }
2026-09-18T03:14:10Z	{ 8.73 21.53 40.64 }
2026-09-18T03:14:15Z	{ 8.19 21.21 40.42 }
2026-09-18T03:14:20Z	{ 8.17 20.99 40.23 }
2026-09-18T03:14:25Z	{ 8.08 20.76 40.03 }
2026-09-18T03:14:30Z	{ 7.51 20.43 39.80 }
2026-09-18T03:14:36Z	{ 7.55 20.22 39.62 }
2026-09-18T03:14:41Z	{ 7.11 19.92 39.39 }
2026-09-18T03:14:46Z	{ 6.94 19.67 39.19 }
2026-09-18T03:14:51Z	{ 6.54 19.38 38.97 }
2026-09-18T03:14:56Z	{ 6.58 19.17 38.79 }
2026-09-18T03:15:01Z	{ 7.25 19.10 38.65 }
2026-09-18T03:15:06Z	{ 8.35 19.13 38.54 }
2026-09-18T03:15:11Z	{ 9.13 19.11 38.42 }
2026-09-18T03:15:16Z	{ 9.36 19.00 38.27 }
2026-09-18T03:15:21Z	{ 9.49 18.86 38.11 }
2026-09-18T03:15:26Z	{ 9.61 18.73 37.95 }
2026-09-18T03:15:31Z	{ 9.96 18.65 37.81 }
2026-09-18T03:15:36Z	{ 10.28 18.58 37.67 }
2026-09-18T03:15:41Z	{ 9.62 18.30 37.46 }
2026-09-18T03:15:46Z	{ 9.33 18.10 37.27 }
2026-09-18T03:15:51Z	{ 8.74 17.83 37.07 }
2026-09-18T03:15:56Z	{ 8.92 17.71 36.91 }
2026-09-18T03:16:01Z	{ 8.37 17.45 36.71 }
2026-09-18T03:16:06Z	{ 8.26 17.28 36.54 }
2026-09-18T03:16:11Z	{ 8.32 17.14 36.37 }
2026-09-18T03:16:16Z	{ 8.29 16.99 36.21 }
2026-09-18T03:16:21Z	{ 7.87 16.76 36.01 }
2026-09-18T03:16:26Z	{ 7.24 16.48 35.80 }
2026-09-18T03:16:31Z	{ 6.98 16.27 35.61 }
2026-09-18T03:16:36Z	{ 6.66 16.05 35.42 }
2026-09-18T03:16:41Z	{ 6.77 15.92 35.26 }
2026-09-18T03:16:46Z	{ 6.54 15.72 35.08 }
2026-09-18T03:16:51Z	{ 6.66 15.59 34.92 }
2026-09-18T03:16:56Z	{ 6.37 15.38 34.73 }
2026-09-18T03:17:01Z	{ 7.70 15.51 34.66 }
2026-09-18T03:17:06Z	{ 7.96 15.43 34.52 }
2026-09-18T03:17:11Z	{ 8.13 15.34 34.38 }
2026-09-18T03:17:16Z	{ 8.60 15.32 34.26 }
2026-09-18T03:17:22Z	{ 8.55 15.20 34.11 }
2026-09-18T03:17:27Z	{ 8.02 14.98 33.92 }
2026-09-18T03:17:32Z	{ 8.82 15.03 33.82 }
2026-09-18T03:17:37Z	{ 8.52 14.86 33.66 }
2026-09-18T03:17:42Z	{ 7.91 14.63 33.46 }
2026-09-18T03:17:47Z	{ 9.44 14.84 33.43 }
2026-09-18T03:17:52Z	{ 9.41 14.74 33.28 }
2026-09-18T03:17:57Z	{ 10.18 14.81 33.20 }
2026-09-18T03:18:02Z	{ 9.68 14.63 33.03 }
2026-09-18T03:18:07Z	{ 9.55 14.52 32.88 }
2026-09-18T03:18:12Z	{ 9.10 14.35 32.71 }
2026-09-18T03:18:17Z	{ 9.33 14.31 32.59 }
2026-09-18T03:18:22Z	{ 8.91 14.13 32.42 }
2026-09-18T03:18:27Z	{ 9.15 14.10 32.30 }
2026-09-18T03:18:32Z	{ 8.82 13.95 32.14 }
2026-09-18T03:18:37Z	{ 8.43 13.78 31.98 }
2026-09-18T03:18:42Z	{ 8.16 13.64 31.82 }
2026-09-18T03:18:47Z	{ 7.83 13.48 31.65 }
2026-09-18T03:18:52Z	{ 8.24 13.47 31.55 }
2026-09-18T03:18:57Z	{ 8.62 13.46 31.44 }
2026-09-18T03:19:02Z	{ 8.09 13.27 31.26 }
2026-09-18T03:19:07Z	{ 8.32 13.23 31.14 }
2026-09-18T03:19:12Z	{ 8.46 13.18 31.02 }
2026-09-18T03:19:17Z	{ 7.86 12.98 30.84 }
