scenario	result	metric_ms	detail
cold-1	FAIL		no Ready within 60 s (cloud-hypervisor still running; host code 1); console: cloud-hypervisor:   0.222974s: <vmm> INFO:virtio-devices/src/transport/pci_device.rs:347 -- _virtio-pci-_disk0: Waiting for barrier cloud-hypervisor:   0.222989s: <vmm> INFO:virtio-devices/src/transport/pci_device.rs:349 -- _virtio-pci-_disk0: Barrier released cloud-hypervisor:   0.223016s: <vcpu0> INFO:vmm/src/vm.rs:490 -- Barrier released 
snapshot	UNSUPPORTED		not attempted: the guest does not boot on this host with v53.0
