scenario	result	metric_ms	detail
cold-1	FAIL		no Ready within 60 s (cloud-hypervisor exited; host code 1); console: cloud-hypervisor:   0.271964s: <vmm> INFO:event_monitor/src/lib.rs:113 -- Event: source = vm event = deleted  cloud-hypervisor:   0.271977s: <vmm> INFO:event_monitor/src/lib.rs:113 -- Event: source = vmm event = shutdown  cloud-hypervisor:   0.272298s: <main> INFO:cloud-hypervisor/src/main.rs:962 -- Cloud Hypervisor exited successfully 
snapshot	UNSUPPORTED		not attempted: the guest does not boot on this host with v53.0
