ts_ms	env	usage_usec	throttled_usec	nr_throttled	memory_current	memory_peak	pids_current	cpu_max	memory_max
1789697718229	env_01m2s4qxtqhggsw99v7h79fbfp	17497	0	0	25133056	25395200	3	50000/100000	335544320
1789697719070	env_01m2s4qxtqhggsw99v7h79fbfp	448137	373159	8	31686656	31686656	3	50000/100000	335544320
1789697719584	env_01m2s4qxtqhggsw99v7h79fbfp	702307	667480	14	32210944	32210944	3	50000/100000	335544320
1789697720098	env_01m2s4qxtqhggsw99v7h79fbfp	966864	915494	19	32997376	32997376	3	50000/100000	335544320
1789697720610	env_01m2s4qxtqhggsw99v7h79fbfp	1229580	1163643	24	35356672	35356672	3	50000/100000	335544320
1789697721123	env_01m2s4qxtqhggsw99v7h79fbfp	1491508	1412947	29	36929536	36929536	3	50000/100000	335544320
1789697721636	env_01m2s4qxtqhggsw99v7h79fbfp	1748300	1660752	34	37453824	37453824	3	50000/100000	335544320
1789697722152	env_01m2s4qxtqhggsw99v7h79fbfp	1998209	1909623	39	39550976	39550976	3	50000/100000	335544320
1789697722666	env_01m2s4qxtqhggsw99v7h79fbfp	2248765	2157761	44	40116224	40337408	3	50000/100000	335544320
1789697723180	env_01m2s4qxtqhggsw99v7h79fbfp	2501060	2456223	50	43261952	43261952	3	50000/100000	335544320
1789697723698	env_01m2s4qxtqhggsw99v7h79fbfp	2767417	2710411	55	45359104	45359104	3	50000/100000	335544320
1789697724227	env_01m2s4qxtqhggsw99v7h79fbfp	3046222	2958834	60	47194112	47194112	3	50000/100000	335544320
1789697724744	env_01m2s4qxtqhggsw99v7h79fbfp	3157565	3113070	63	47194112	47194112	3	50000/100000	335544320
1789697725276	env_01m2s4qxtqhggsw99v7h79fbfp	3159546	3113070	63	47194112	47194112	3	50000/100000	335544320
1789697725812	env_01m2s4qxtqhggsw99v7h79fbfp	3161729	3113070	63	47194112	47194112	3	50000/100000	335544320
1789697726339	env_01m2s4qxtqhggsw99v7h79fbfp	3183779	3113070	63	47194112	47194112	3	50000/100000	335544320
1789697726862	env_01m2s4qxtqhggsw99v7h79fbfp	3188656	3113070	63	47194112	47194112	3	50000/100000	335544320
1789697727392	env_01m2s4qxtqhggsw99v7h79fbfp	3198755	3113070	63	47194112	47194112	3	50000/100000	335544320
1789697727811	env_01m2s4qxtqhggsw99v7h79fbfp	3200993	3113070	63	47194112	47194112	3	50000/100000	335544320
